title,age,gender,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
55,51,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
88,51,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
97,51,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
87,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
58,51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
32,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,51,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,51,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
29,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,27,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
76,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
82,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,27,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
35,27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
57,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
94,27,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
55,27,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
88,27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
64,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,27,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
96,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
79,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,29,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
89,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
55,29,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
97,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
87,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
58,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
45,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,47,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,24,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
76,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
16,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,24,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
35,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
94,24,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
2,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
93,24,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,24,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,51,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
88,51,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,60,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
76,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,60,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
16,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,60,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,60,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,60,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,60,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
35,60,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
57,60,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
88,60,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
97,60,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
25,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
58,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
98,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,60,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,60,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
26,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,60,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,45,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
82,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,45,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
84,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16,26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,26,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
65,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,26,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
91,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,26,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,52,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
92,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,52,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,31,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
16,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
99,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
41,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
44,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
57,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
55,31,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
98,31,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,31,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
96,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
16,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
92,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
88,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,7,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,48,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,48,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
82,53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,53,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
43,53,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,53,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,53,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
44,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
87,53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
98,53,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,27,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
76,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,27,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
16,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,27,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
35,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
57,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,27,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
55,27,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
87,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,27,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,27,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
92,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,53,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,53,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,20,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,20,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41,20,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
94,20,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42,20,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
55,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
64,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,50,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
82,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
50,28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
88,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,41,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
86,41,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
59,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,16,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,20,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
59,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
16,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
99,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
92,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
25,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40,20,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,20,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24,53,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
86,53,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
84,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,36,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
76,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,36,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
82,36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,36,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
3,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
